date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:45	18179/18179	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/diagonal-slider.html	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/diagonal-slider.html	(from )
21:26:51	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/robots.txt		(from )
21:26:51	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/favicon.ico	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/favicon.ico	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:52	147430/147430	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/bootstrap.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/bootstrap.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:53	2084/2084	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/reset.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/reset.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:53	19351/19351	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/style.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/style.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:54	57095/57095	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/animate.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/animate.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:54	1064/1064	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/owl.carousel.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/owl.carousel.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:55	7806/7806	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/css/magnific-popup.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/css/magnific-popup.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:55	27466/27466	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:56	7599/7599	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:56	1703/1703	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/logo.png	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/logo.png	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:26:59	321098/321098	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/home-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/home-2.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:03	54424/54424	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/profile-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/profile-2.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:06	42524/42524	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-2.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:06	565275/565275	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/slider-1.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/slider-1.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:06	46835/46835	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-1.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-1.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
